"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"1353.10 17","B","(9/2+)","","411.5 1 ?,    633.0 2 ?,   1352.9 2","91 6 ,    88 27 ,   100 21",", ,","941.43,    720.60,      0","5/2+, (7/2+), 9/2+",
"1388.39 16","B D","7/2-","","363.6 4 ,    667.9 3 ,   1388.1 4","74 9 ,    29 14 ,   100 14",", ,","1025.02,    720.60,      0","(11/2+), (7/2+), 9/2+",
"1436.44 9","B D","7/2+,9/2+","","411.5 1 ,   1436.5 2","22 3 ,   100 9",",","1025.02,      0","(11/2+), 9/2+",
"1474 5","D","7/2+,9/2+","","","","","","",
"1553 5","D","1/2-,3/2-","","","","","","",
"1624.94 17","A","1/2,3/2,5/2","","836.6 2 ,    970.6 4","100 14 ,    61 17",",","788.26,    654.27","1/2+,3/2+, (3/2)+",
"1649 5","D","3/2+,5/2+","","","","","","",
"1729 5","D","1/2-,3/2-","","","","","","",
"1769.97 14 ?","A","1/2+,3/2,5/2","","828.5 2 ,   1115.7 2","62 6 ,   100 15",",","941.43,    654.27","5/2+, (3/2)+",
"1779.0 10","F","(15/2+)","","636","","","1143.00","(11/2+)",
"1806.59 15","A","1/2+,3/2,5/2","","864.8 3 ,   1018.4 2 ,   1152.4 2","39 12 ,   100 9 ,    70 9",", ,","941.43,    788.26,    654.27","5/2+, 1/2+,3/2+, (3/2)+",
"1837 5","D","1/2-,3/2-","","","","","","",
"1920.99 8","A","1/2+,3/2+","","870.6 2 ,   1132.6 3 ,   1267.3 8 ,   1316.9 2 ,   1609.7 1","4.7 7 ,     8.4 10 ,     0.9 7 ,    81 10 ,   100 6",", , , ,","1050.21,    788.26,    654.27,    604.18,    311.37","(5/2+), 1/2+,3/2+, (3/2)+, 3/2-, 1/2-",
"1979 5","D","7/2+,9/2+","","","","","","",
"2021.35 8","B","(9/2-,11/2-)","","585.0 1 ,    633.0 2 ,    667.9 3 ,    817.6 1 ,    878.3 3 ,    996.3 2 ,   2021.3 2","21.7 15 ,     3.1 18 ,     1.0 6 ,     5.9 4 ,     1.5 3 ,     7.3 18 ,   100 7",", , , , , ,","1436.44,   1388.39,   1353.10,   1203.71,   1143.00,   1025.02,      0","7/2+,9/2+, 7/2-, (9/2+), (13/2+), (11/2+), (11/2+), 9/2+",
"2050 5","D","1/2-,3/2-","","","","","","",
"2064.15 18","A","1/2+,3/2,5/2-","","143.2 5 ,   1014.0 3 ,   1122.5 3 ,   1409.7 5 ,   1753.3 5","18 7 ,   100 22 ,    51 11 ,    61 17 ,    93 11",", , , ,","1920.99,   1050.21,    941.43,    654.27,    311.37","1/2+,3/2+, (5/2+), 5/2+, (3/2)+, 1/2-",
"2104.30 15","B","(9/2,11/2,13/2+)","","2104.3 2","100","","0","9/2+",
"2126.93 8","B","(11/2-)","","105.6 1 ,    923.2 1 ,    983.9 2 ,   1101.9 1","34 3 ,    71 4 ,    10 2 ,   100 5",", , ,","2021.35,   1203.71,   1143.00,   1025.02","(9/2-,11/2-), (13/2+), (11/2+), (11/2+)",
"2132.1 9","F","(15/2-)","","928","","","1203.71","(13/2+)",
"2223.3 9","F","(17/2+)","","1020","","","1203.71","(13/2+)",
"2226.5 11","F","(17/2-)","","94","","","2132.1","(15/2-)",
"2272 5","D","-","","","","","","",
"2286.9 11","F","(19/2-)","","60,     64",",","(M1), (E1)","2226.5,   2223.3","(17/2-), (17/2+)",
"2338.04 8","A","1/2+,3/2+","","417.1 1 ,   1287.8 1 ,   1549.4 5 ,   1683.9 2 ,   1733.8 1 ,   2026.6 3","6.4 8 ,    33 6 ,    11 3 ,     9.1 9 ,   100 23 ,    17.3 23",", , , , ,","1920.99,   1050.21,    788.26,    654.27,    604.18,    311.37","1/2+,3/2+, (5/2+), 1/2+,3/2+, (3/2)+, 3/2-, 1/2-",
"2343 5","D","1/2-,3/2-","","","","","","",
"2359.54 22","B","(9/2,11/2)","","1217.1 12 ,   1334.2 3 ,   1639.2 3","6 5 ,   100 28 ,    26 6",", ,","1143.00,   1025.02,    720.60","(11/2+), (11/2+), (7/2+)",
"2367.95 10","A","1/2+,3/2+","","447.3 5 ,    597.9 3 ,    742.8 3 ,   1317.8 3 ,   1426.3 5 ,   1714.0 2 ,   1763.7 1 ,   2056.5 3","2.4 8 ,     5.6 8 ,     4.8 8 ,    12 4 ,     3.7 8 ,    25 3 ,   100 20 ,    24 2",", , , , , , ,","1920.99,   1769.97,   1624.94,   1050.21,    941.43,    654.27,    604.18,    311.37","1/2+,3/2+, 1/2+,3/2,5/2, 1/2,3/2,5/2, (5/2+), 5/2+, (3/2)+, 3/2-, 1/2-",
"2389.18 11","B","(9/2,11/2)","","284.9 2 ,   1035.1 10 ,   1185.5 2 ,   1364.1 2 ,   1668.5 2 ,   2389.3 3","14.8 19 ,    18 3 ,    56 4 ,   100 14 ,    59 5 ,    13.8 19",", , , , ,","2104.30,   1353.10,   1203.71,   1025.02,    720.60,      0","(9/2,11/2,13/2+), (9/2+), (13/2+), (11/2+), (7/2+), 9/2+",
"2410 5","D","5/2-,7/2,9/2+","","","","","","",
"2422.54 18","B","(9/2-)","","1279.5 5 ,   1397.1 10 ,   1701.9 2 ,   2422.6 3","5.5 22 ,    28 17 ,    62 4 ,   100 8",", , ,","1143.00,   1025.02,    720.60,      0","(11/2+), (11/2+), (7/2+), 9/2+",
"2460 5","D","5/2-,7/2,9/2+","","","","","","",
"2487.21 12","B","(9/2-,11/2-,13/2-)","","98.0 2 ,    360.3 2 ,   1344.2 1","11.4 7 ,    15.1 22 ,   100 6",", ,","2389.18,   2126.93,   1143.00","(9/2,11/2), (11/2-), (11/2+)",
"2493.9 15","F","(21/2-)","","207","","","2286.9","(19/2-)",
"2502 5","D","1/2-,3/2-","","","","","","",
"2504.9 15","F","(21/2+)","","218","","","2286.9","(19/2-)",
"2519.0 15","F","(19/2+)","","740","","","1779.0","(15/2+)",
"2520.3 5","B","(9/2,11/2,13/2+)","","2520.3 5","100","","0","9/2+",
"2524.57 12","A","1/2+,3/2+,5/2+","","1474.4 1 ,   1869.4 10 ,   1920.0 3","100 14 ,    31 11 ,    22 8",", ,","1050.21,    654.27,    604.18","(5/2+), (3/2)+, 3/2-",
"2526.6 5","B","(9/2,11/2,13/2)","","1806.0 4","100","","720.60","(7/2+)",
"2554.40 21","A","1/2,3/2,5/2","","1950.2 2","100","","604.18","3/2-",
"2564.64 17","B","(11/2-)","","437.7 6 ,   1360.8 2 ,   1539.9 3","20 10 ,   100 15 ,    55 15",", ,","2126.93,   1203.71,   1025.02","(11/2-), (13/2+), (11/2+)",
"2564.8 3","A","1/2+,3/2+,5/2+","","1623.0 5 ,   1911.0 10 ,   1960.7 3","30 13 ,    31 19 ,   100 19",", ,","941.43,    654.27,    604.18","5/2+, (3/2)+, 3/2-",
"2618 5","D","7/2+,9/2+","","","","","","",
"2656.9 18","F","(25/2+)","240 ns 25","152","","(E2)","2504.9","(21/2+)",
"2667.86 19","A","1/2+,3/2+","","2064.1 5 ,   2356.4 2","6.9 13 ,   100 44",",","604.18,    311.37","3/2-, 1/2-",
"2670 5","D","-","","","","","","",
"2672.19 23","B","(9/2,11/2)","","1236.2 10 ,   1468.0 4 ,   1528.3 8 ,   2672.5 3","24 10 ,   100 24 ,    50 24 ,    67 7",", , ,","1436.44,   1203.71,   1143.00,      0","7/2+,9/2+, (13/2+), (11/2+), 9/2+",
"2745 5","D","7/2+,9/2+","","","","","","",
"2782.9 18","F","(23/2-)","","289","","","2493.9","(21/2-)",
"2798.7 5","A","1/2+,3/2+,5/2+","","130.8 4","100","","2667.86","1/2+,3/2+",
"2811 5","D","1/2-,3/2-","","","","","","",
"2859.60 21","A","1/2+,3/2+","","","","","","",
"2885 5","D","-","","","","","","",
"2927.9 21","F","(25/2-)","","145","","","2782.9","(23/2-)",
"2992.9 21","F","(27/2+)","","336","","","2656.9","(25/2+)",
"3005 5","D","5/2-,7/2,9/2+","","","","","","",
"3130 5","D","7/2+,9/2+","","","","","","",
"3330 5","D","-","","","","","","",
"3452.9 23","F","(29/2+)","","460","","","2992.9","(27/2+)",
"3526.9 22","F","(27/2-)","","599","","","2927.9","(25/2-)",
"4025.9 22","F","(29/2-)","","499,   1098",",",",","3526.9,   2927.9","(27/2-), (25/2-)",

"E(level)(keV)","Jπ(level)","T1/2(level)","E(γ)(keV)","Multipolarity","MixingRatio","ConversionCoefficient","Additional Data",
"311.37","1/2-","18.0 m 3 , % IT = 4.4, % β- = 95.6","311.39 3","M4","","1.529","B(M4)(W.u.)=8.75 17, α=1.529, α(K)=1.200 17, α(L)=0.265 4, α(M)=0.0544 8, α(N)=0.00977 14, α(O)=0.000564 8, α(N+)=0.01033 15",
"604.18","3/2-","< 1.0 ns","292.9 1","M1,E2","","0.032","α=0.032 5, α(K)=0.028 4, α(L)=0.0038 9, α(M)=0.00075 18, α(N)=0.00013 3, α(O)=8.8×10-6 10, α(N+)=0.00014 3",
"654.27","(3/2)+","130 ns 15","50.2 1","[E1]","","1.203","B(E1)(W.u.)=3.4E-7 6, α=1.203, α(K)=1.032 16, α(L)=0.1390 21, α(M)=0.0267 4, α(N)=0.00472 8, α(O)=0.000273 4, α(N+)=0.00500 8",
"(3/2)+","130 ns 15","343.0 1","E1","","0.00574","B(E1)(W.u.)=5.1E-8 9, α=0.00574 8, α(K)=0.00500 7, α(L)=0.000599 9, α(M)=0.0001155 17, α(N)=2.10E-5 3, α(O)=1.502E-6 21, α(N+)=2.25E-5 4",
"788.26","1/2+,3/2+","2.00 ns 15","134.0 1","E2(+M1)","1.1 GT","0.47","B(E2)(W.u.)>54, B(M1)(W.u.)<0.0015, α=0.47 8, α(K)=0.38 6, α(L)=0.079 16, α(M)=0.016 4, α(N)=0.0027 6, α(O)=0.000126 19, α(N+)=0.0029 6",
"1/2+,3/2+","2.00 ns 15","184.1 1","[E1]","","0.0309","B(E1)(W.u.)=4.4E-7 10, α=0.0309, α(K)=0.0269 4, α(L)=0.00327 5, α(M)=0.000631 9, α(N)=0.0001143 17, α(O)=7.85E-6 11, α(N+)=0.0001222 18",
"1/2+,3/2+","2.00 ns 15","476.7 3","[E1]","","0.00253","B(E1)(W.u.)=1.01E-7 18, α=0.00253 4, α(K)=0.00220 4, α(L)=0.000262 4, α(M)=5.05E-5 8, α(N)=9.22E-6 13, α(O)=6.68E-7 10, α(N+)=9.89E-6 14",
"2286.9","(19/2-)","","60","(M1)","","2.21","α=2.21, α(K)=1.91 3, α(L)=0.243 4, α(M)=0.0473 7, α(N)=0.00864 13, α(O)=0.000635 9, α(N+)=0.00928 13",
"(19/2-)","","64","(E1)","","0.613","α=0.613, α(K)=0.529 8, α(L)=0.0689 10, α(M)=0.01325 19, α(N)=0.00236 4, α(O)=0.0001423 20, α(N+)=0.00250 4",
"2656.9","(25/2+)","240 ns 25","152","(E2)","","0.350","B(E2)(W.u.)=0.62 7, α=0.350, α(K)=0.280 4, α(L)=0.0569 8, α(M)=0.01132 16, α(N)=0.00197 3, α(O)=9.24E-5 13, α(N+)=0.00207 3",

"E(level)","Jπ(level)","T1/2(level)","Comments",
"0","9/2+","2.4 m 1 , % β- = 100","Q=+0.854 7, μ=+5.515 10, E(level): πg9/2-1νh11/22.",
"654.27","(3/2)+","130 ns 15","Q=0.60 2, μ=+0.53 3, E(level): π1/2[431] from π(g7/2 and/or d5/2).",
"720.60","(7/2+)","","E(level): π1/2[431] from π(g7/2 and/or d5/2).",
"1143.00","(11/2+)","","E(level): π1/2[431] from π(g7/2 and/or d5/2).",
"1203.71","(13/2+)","","E(level): πg9/2-1νh11/22.",
"1779.0","(15/2+)","","E(level): π1/2[431] from π(g7/2 and/or d5/2).",
"2132.1","(15/2-)","","E(level): πg9/2-1νh11/21(ν(d5/2 and/or g7/2)1).",
"2223.3","(17/2+)","","E(level): πg9/2-1νh11/22.",
"2226.5","(17/2-)","","E(level): πg9/2-1νh11/21(ν(d5/2 and/or g7/2)1).",
"2286.9","(19/2-)","","E(level): πg9/2-1νh11/21(ν(d5/2 and/or g7/2)1).",
"2493.9","(21/2-)","","E(level): πg9/2-1νh11/21(ν(d5/2 and/or g7/2)1).",
"2504.9","(21/2+)","","E(level): πg9/2-1νh11/22.",
"2519.0","(19/2+)","","E(level): π1/2[431] from π(g7/2 and/or d5/2).",
"2656.9","(25/2+)","240 ns 25","E(level): πg9/2-1νh11/22.",
"2782.9","(23/2-)","","E(level): πg9/2-1νh11/21(ν(d5/2 and/or g7/2)1).",
"2927.9","(25/2-)","","E(level): πg9/2-1νh11/21(ν(d5/2 and/or g7/2)1).",
"2992.9","(27/2+)","","E(level): πg9/2-1νh11/22.",
"3452.9","(29/2+)","","E(level): πg9/2-1νh11/22.",
"3526.9","(27/2-)","","E(level): πg9/2-1νh11/21(ν(d5/2 and/or g7/2)1).",
"4025.9","(29/2-)","","E(level): πg9/2-1νh11/21(ν(d5/2 and/or g7/2)1).",

"E(level)","E(gamma)","Comments",
"720.60","720.7","E(γ): From 119Cd(2.20-min) β- decay",
"1143.00","422.4","E(γ): From 119Cd(2.20-min) β- decay",
"1142.7","E(γ): From 119Cd(2.20-min) β- decay",
"1203.71","178.6","E(γ): From 119Cd(2.20-min) β- decay",
"1203.7","E(γ): From 119Cd(2.20-min) β- decay",
"1353.10","411.5","E(γ): From 119Cd(2.20-min) β- decay",
"633.0","E(γ): From 119Cd(2.20-min) β- decay",
"1352.9","E(γ): From 119Cd(2.20-min) β- decay",
"1388.39","363.6","E(γ): From 119Cd(2.20-min) β- decay",
"667.9","E(γ): From 119Cd(2.20-min) β- decay",
"1388.1","E(γ): From 119Cd(2.20-min) β- decay",
"1436.44","411.5","E(γ): From 119Cd(2.20-min) β- decay",
"1436.5","E(γ): From 119Cd(2.20-min) β- decay",
"1779.0","636","E(γ): From 238U(12C,Xγ)",
"2021.35","585.0","E(γ): From 119Cd(2.20-min) β- decay",
"633.0","E(γ): From 119Cd(2.20-min) β- decay",
"667.9","E(γ): From 119Cd(2.20-min) β- decay",
"817.6","E(γ): From 119Cd(2.20-min) β- decay",
"878.3","E(γ): From 119Cd(2.20-min) β- decay",
"996.3","E(γ): From 119Cd(2.20-min) β- decay",
"2021.3","E(γ): From 119Cd(2.20-min) β- decay",
"2104.30","2104.3","E(γ): From 119Cd(2.20-min) β- decay",
"2126.93","105.6","E(γ): From 119Cd(2.20-min) β- decay",
"923.2","E(γ): From 119Cd(2.20-min) β- decay",
"983.9","E(γ): From 119Cd(2.20-min) β- decay",
"1101.9","E(γ): From 119Cd(2.20-min) β- decay",
"2132.1","928","E(γ): From 238U(12C,Xγ)",
"2223.3","1020","E(γ): From 238U(12C,Xγ)",
"2226.5","94","E(γ): From 238U(12C,Xγ)",
"2286.9","60","E(γ): From 238U(12C,Xγ), M(γ): From transition-intensity balance (2002Lu15)",
"64","E(γ): From 238U(12C,Xγ), M(γ): From transition-intensity balance (2002Lu15)",
"2359.54","1217.1","E(γ): From 119Cd(2.20-min) β- decay",
"1334.2","E(γ): From 119Cd(2.20-min) β- decay",
"1639.2","E(γ): From 119Cd(2.20-min) β- decay",
"2389.18","284.9","E(γ): From 119Cd(2.20-min) β- decay",
"1035.1","E(γ): From 119Cd(2.20-min) β- decay",
"1185.5","E(γ): From 119Cd(2.20-min) β- decay",
"1364.1","E(γ): From 119Cd(2.20-min) β- decay",
"1668.5","E(γ): From 119Cd(2.20-min) β- decay",
"2389.3","E(γ): From 119Cd(2.20-min) β- decay",
"2422.54","1279.5","E(γ): From 119Cd(2.20-min) β- decay",
"1397.1","E(γ): From 119Cd(2.20-min) β- decay",
"1701.9","E(γ): From 119Cd(2.20-min) β- decay",
"2422.6","E(γ): From 119Cd(2.20-min) β- decay",
"2487.21","98.0","E(γ): From 119Cd(2.20-min) β- decay",
"360.3","E(γ): From 119Cd(2.20-min) β- decay",
"1344.2","E(γ): From 119Cd(2.20-min) β- decay",
"2493.9","207","E(γ): From 238U(12C,Xγ)",
"2504.9","218","E(γ): From 238U(12C,Xγ)",
"2519.0","740","E(γ): From 238U(12C,Xγ)",
"2526.6","1806.0","E(γ): From 119Cd(2.20-min) β- decay",
"2564.64","437.7","E(γ): From 119Cd(2.20-min) β- decay",
"1360.8","E(γ): From 119Cd(2.20-min) β- decay",
"1539.9","E(γ): From 119Cd(2.20-min) β- decay",
"2656.9","152","E(γ): From 238U(12C,Xγ), M(γ): From systematics of B(E2) in this region",
"2672.19","1236.2","E(γ): From 119Cd(2.20-min) β- decay",
"1468.0","E(γ): From 119Cd(2.20-min) β- decay",
"1528.3","E(γ): From 119Cd(2.20-min) β- decay",
"2672.5","E(γ): From 119Cd(2.20-min) β- decay",
"2782.9","289","E(γ): From 238U(12C,Xγ)",
"2927.9","145","E(γ): From 238U(12C,Xγ)",
"2992.9","336","E(γ): From 238U(12C,Xγ)",
"3452.9","460","E(γ): From 238U(12C,Xγ)",
"3526.9","599","E(γ): From 238U(12C,Xγ)",
"4025.9","499","E(γ): From 238U(12C,Xγ)",
"1098","E(γ): From 238U(12C,Xγ)",

